ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
181,worker[145],904239.2994545395,6245751.608850903,date ('2021-05-27 08:00:05'),59.59208181169298,41.219861111111115,31.196667427486844,10.999027778042688
182,worker[145],904235.2457965413,6245736.425880296,date ('2021-05-27 08:00:10'),41.885001521640355,41.23972222222223,29.19361187087165,10.298055746820237
183,worker[145],904240.7024618189,6245735.382327912,date ('2021-05-27 08:00:15'),42.17750075658162,41.25958333333334,29.290832575162252,10.397082952658335
184,worker[145],904246.1655225576,6245734.375947597,date ('2021-05-27 08:00:20'),42.17000075446235,41.27944444444445,29.287777021196153,10.396110730701023
185,worker[145],904251.6571900999,6245733.535837404,date ('2021-05-27 08:00:25'),42.16250075234307,41.299305555555556,29.284721467230057,10.39513850874371
186,worker[145],904256.0499506142,6245730.628170008,date ('2021-05-27 08:00:30'),42.1550007502238,41.31916666666667,29.281665913263957,10.394166286786398
187,worker[145],904259.8186670959,6245726.5463844165,date ('2021-05-27 08:00:35'),42.14750074810452,41.33902777777778,29.278610359297858,10.393194064829085
188,worker[145],904262.9299639894,6245722.018508925,date ('2021-05-27 08:00:40'),47.03666517469618,41.35888888888889,29.675556310017903,10.592222595214844
189,worker[145],904265.3305392162,6245717.008375582,date ('2021-05-27 08:00:45'),47.028748512268066,41.378750000000004,29.67250075340271,10.591250371932983
190,worker[145],904277.5851243108,6245724.110153464,date ('2021-05-27 15:55:00'),18.475000381469727,86.325,17.991665999094646,6.241666475931804
191,worker[145],904264.7178638214,6245718.287063036,date ('2021-05-27 15:55:05'),18.47708371480306,86.31791666666668,17.988471553060744,6.240972031487359
